Age,Annual Income,Spending Score,Income_Spending_Ratio,Gender_Code
30,151479,89,1683.1,1
58,185088,95,1928.0,0
62,70912,76,920.9350649350649,0
23,55460,57,956.2068965517242,1
24,153752,76,1996.7792207792209,1
42,158335,40,3861.829268292683,1
27,163501,37,4302.6578947368425,0
24,70476,17,3915.3333333333335,1
83,47743,34,1364.0857142857142,1
62,63448,3,15862.0,0
37,170566,75,2244.2894736842104,1
63,89355,80,1103.148148148148,0
25,87576,17,4865.333333333333,1
32,159892,96,1648.3711340206185,0
51,135079,87,1534.9886363636363,0
64,32869,81,400.8414634146341,0
19,198682,82,2393.759036144578,1
89,38708,97,394.9795918367347,1
65,87270,3,21817.5,1
26,45518,12,3501.3846153846152,1
21,199879,49,3997.58,1
70,163828,36,4427.783783783784,1
24,109188,6,15598.285714285714,1
39,48212,36,1303.027027027027,0
61,141596,45,3078.1739130434785,1
19,192492,57,3318.8275862068967,0
79,109550,7,13693.75,1
61,38132,15,2383.25,0
73,170959,55,3052.839285714286,0
58,80731,23,3363.7916666666665,1
90,123085,25,4734.038461538462,0
39,135748,95,1414.0416666666667,0
35,71372,52,1346.6415094339623,0
79,164259,96,1693.3917525773195,1
57,105742,7,13217.75,0
76,189412,87,2152.409090909091,1
40,64309,62,1020.7777777777778,1
82,84966,66,1268.1492537313434,0
84,35701,5,5950.166666666667,0
56,43376,52,818.4150943396227,0
21,118137,43,2684.931818181818,0
55,77165,86,886.9540229885057,1
24,119922,80,1480.5185185185185,1
45,82425,39,2060.625,1
28,149778,15,9361.125,1
67,129484,80,1598.567901234568,0
69,73479,77,942.0384615384615,0
26,81259,29,2708.633333333333,0
45,147126,1,73563.0,1
39,44774,12,3444.153846153846,0
27,198647,25,7640.2692307692305,0
58,85181,16,5010.64705882353,0
46,87741,3,21935.25,1
45,137494,68,1992.6666666666667,0
63,56531,2,18843.666666666668,0
36,63564,23,2648.5,1
25,198265,29,6608.833333333333,0
62,22655,39,566.375,1
36,125614,35,3489.277777777778,1
48,170509,54,3100.163636363636,0
50,101081,32,3063.060606060606,0
48,45667,95,475.6979166666667,0
49,189732,2,63244.0,0
80,30718,49,614.36,0
33,134933,90,1482.7802197802198,0
21,55978,34,1599.3714285714286,1
38,36650,91,398.3695652173913,0
83,173558,53,3214.037037037037,0
54,29187,61,470.758064516129,0
81,188612,45,4100.260869565217,0
44,101492,55,1812.357142857143,1
23,169008,31,5281.5,1
39,145660,81,1776.341463414634,0
75,118063,35,3279.527777777778,0
19,95891,93,1020.1170212765958,0
24,154402,79,1930.025,1
44,112848,14,7523.2,0
55,127451,31,3982.84375,0
60,98827,27,3529.535714285714,1
33,67969,27,2427.464285714286,1
52,60785,9,6078.5,0
72,66416,53,1229.9259259259259,0
72,152544,59,2542.4,1
72,35507,72,486.3972602739726,0
68,167873,24,6714.92,1
65,23002,32,697.030303030303,1
81,111464,34,3184.6857142857143,0
64,120469,20,5736.619047619048,0
76,85934,48,1753.7551020408164,1
30,99419,4,19883.8,0
68,194339,35,5398.305555555556,0
70,187033,14,12468.866666666667,1
57,164879,9,16487.9,1
90,34276,98,346.22222222222223,0
65,97470,67,1433.3823529411766,1
36,142836,40,3483.8048780487807,0
72,62084,59,1034.7333333333333,0
61,166752,93,1773.9574468085107,1
46,43269,54,786.709090909091,1
68,114111,42,2653.7441860465115,1
31,75683,65,1146.7121212121212,0
51,196283,31,6133.84375,1
37,132793,22,5773.608695652174,0
25,141598,63,2212.46875,1
30,195148,27,6969.571428571428,1
21,175112,33,5150.35294117647,0
65,81473,10,7406.636363636364,1
21,172147,80,2125.2716049382716,1
22,106474,74,1419.6533333333334,0
70,198254,13,14161.0,0
71,148746,13,10624.714285714286,1
27,40263,77,516.1923076923077,0
21,115816,55,2068.1428571428573,0
53,149880,32,4541.818181818182,1
51,88029,84,1035.6352941176472,0
49,193839,43,4405.431818181818,0
56,54564,18,2871.7894736842104,0
55,134714,96,1388.8041237113403,1
84,187596,44,4168.8,1
38,129717,71,1801.625,1
46,48265,62,766.1111111111111,0
27,179234,97,1828.9183673469388,1
53,156298,35,4341.611111111111,0
65,156022,49,3120.44,1
22,158363,83,1885.2738095238096,1
23,114512,25,4404.307692307692,0
18,96397,64,1483.0307692307692,0
44,171517,76,2227.4935064935066,0
38,181538,68,2630.985507246377,0
54,47403,42,1102.3953488372092,1
88,167725,51,3225.480769230769,0
24,185297,95,1930.1770833333333,0
70,160196,34,4577.028571428571,1
42,117940,82,1420.9638554216867,0
74,190938,65,2893.0,1
22,138220,20,6581.9047619047615,0
78,94764,75,1246.8947368421052,1
44,83991,1,41995.5,0
70,82642,56,1449.859649122807,1
58,123333,91,1340.5760869565217,0
38,70435,24,2817.4,1
88,189093,50,3707.705882352941,1
33,177848,29,5928.266666666666,0
59,96744,97,987.1836734693877,0
72,83218,32,2521.757575757576,0
27,39027,29,1300.9,1
35,139195,33,4093.970588235294,0
37,144020,45,3130.8695652173915,0
44,186527,6,26646.714285714286,0
29,48177,53,892.1666666666666,1
58,139447,35,3873.527777777778,0
39,119071,3,29767.75,0
33,181795,1,90897.5,1
65,150797,44,3351.0444444444443,0
52,76398,31,2387.4375,0
45,58209,64,895.5230769230769,0
82,122425,46,2604.7872340425533,1
59,46020,78,582.5316455696203,0
34,61463,72,841.9589041095891,0
52,29917,3,7479.25,1
59,194285,47,4047.6041666666665,1
45,96402,43,2190.9545454545455,0
29,146297,82,1762.6144578313254,1
83,148435,71,2061.597222222222,1
26,111030,96,1144.639175257732,1
79,27136,48,553.795918367347,1
49,197608,33,5812.0,1
19,55184,32,1672.2424242424242,0
48,92981,70,1309.5915492957747,0
22,40540,40,988.780487804878,1
54,88161,40,2150.268292682927,1
83,165910,52,3130.377358490566,1
60,167341,34,4781.171428571429,1
78,90847,77,1164.7051282051282,0
33,35619,73,481.3378378378378,0
27,41176,50,807.3725490196078,0
33,120389,51,2315.173076923077,0
55,74456,13,5318.285714285715,1
46,181085,64,2785.923076923077,0
87,46613,76,605.3636363636364,0
79,83333,73,1126.1216216216217,1
19,165788,44,3684.177777777778,0
22,99687,51,1917.0576923076924,0
31,83755,8,9306.111111111111,1
84,155012,80,1913.7283950617284,1
27,56250,100,556.9306930693069,1
20,111933,39,2798.325,1
36,191350,99,1913.5,1
77,94946,92,1020.9247311827957,0
67,63064,26,2335.703703703704,0
26,82707,4,16541.4,1
34,135368,27,4834.571428571428,0
40,44192,70,622.4225352112676,1
41,32923,95,342.9479166666667,1
57,100359,18,5282.0526315789475,1
35,28555,18,1502.8947368421052,0
85,142048,11,11837.333333333334,0
63,111526,91,1212.2391304347825,0
35,33041,15,2065.0625,1
77,157332,57,2712.6206896551726,1
25,71927,39,1798.175,1
28,194371,19,9718.55,1
31,85563,28,2950.448275862069,1
85,130091,37,3423.4473684210525,0
90,42161,94,443.8,1
28,159617,71,2216.902777777778,1
70,46295,54,841.7272727272727,1
46,74147,48,1513.204081632653,1
71,190491,75,2506.4605263157896,1
81,124912,24,4996.48,0
35,84210,53,1559.4444444444443,1
37,134784,6,19254.85714285714,1
71,185966,6,26566.571428571428,1
50,140875,83,1677.0833333333333,1
65,177020,100,1752.6732673267327,1
83,151188,88,1698.741573033708,1
39,33191,2,11063.666666666666,0
32,163264,64,2511.753846153846,0
26,40345,23,1681.0416666666667,1
24,184070,21,8366.818181818182,1
65,44776,36,1210.162162162162,0
36,119502,52,2254.754716981132,0
41,113729,54,2067.8,0
83,194008,55,3464.4285714285716,0
61,60084,36,1623.8918918918919,0
84,144269,1,72134.5,0
33,109638,49,2192.76,0
89,88161,50,1728.6470588235295,0
35,182663,68,2647.289855072464,0
89,91139,59,1518.9833333333333,0
40,180570,23,7523.75,1
69,57994,35,1610.9444444444443,0
88,172761,69,2468.0142857142855,0
34,38774,84,456.16470588235296,0
88,80079,9,8007.9,1
61,23888,59,398.1333333333333,0
60,189867,98,1917.8484848484848,0
78,23342,91,253.7173913043478,0
35,76836,29,2561.2,0
53,170065,28,5864.310344827586,1
33,99420,64,1529.5384615384614,1
86,174987,71,2430.375,1
90,117976,85,1371.8139534883721,0
84,74475,54,1354.090909090909,1
54,103099,49,2061.98,0
20,188784,21,8581.09090909091,1
86,28187,37,741.7631578947369,0
73,145465,54,2644.818181818182,0
35,120472,94,1268.1263157894737,0
88,37300,4,7460.0,0
54,113062,65,1713.060606060606,0
19,150107,61,2421.0806451612902,1
84,22452,48,458.2040816326531,1
60,42834,32,1298.0,0
39,81494,66,1216.3283582089553,0
85,59981,38,1537.974358974359,0
60,91707,89,1018.9666666666667,0
85,31207,51,600.1346153846154,1
82,160112,44,3558.0444444444443,0
44,199826,4,39965.2,1
48,124952,1,62476.0,1
21,42522,48,867.795918367347,0
87,54581,94,574.5368421052632,1
41,68045,37,1790.657894736842,1
52,141101,30,4551.645161290323,0
76,74629,27,2665.3214285714284,0
72,70373,4,14074.6,0
67,22820,19,1141.0,1
32,83620,77,1072.051282051282,0
71,96598,33,2841.1176470588234,0
38,55259,53,1023.3148148148148,1
57,26527,59,442.1166666666667,0
80,152277,50,2985.823529411765,1
60,150622,51,2896.576923076923,1
53,177668,26,6580.2962962962965,1
84,138972,90,1527.1648351648353,0
26,52463,75,690.3026315789474,1
34,139068,63,2172.9375,0
67,193657,23,8069.041666666667,0
31,154450,38,3960.25641025641,0
81,116964,89,1299.6,0
67,122895,41,2926.0714285714284,1
32,176367,2,58789.0,0
32,118656,21,5393.454545454545,0
81,68370,93,727.3404255319149,1
77,105926,7,13240.75,1
27,124703,17,6927.944444444444,0
59,147027,49,2940.54,0
37,110855,1,55427.5,0
47,70702,66,1055.2537313432836,1
28,82523,10,7502.090909090909,1
63,42330,88,475.6179775280899,1
18,178560,90,1962.1978021978023,1
55,129907,39,3247.675,1
46,134580,1,67290.0,0
