Age,Annual Income,Spending Score
30,151479,89
58,185088,95
62,70912,76
23,55460,57
24,153752,76
42,158335,40
27,163501,37
24,70476,17
83,47743,34
62,63448,3
37,170566,75
63,89355,80
25,87576,17
32,159892,96
51,135079,87
64,32869,81
19,198682,82
89,38708,97
65,87270,3
26,45518,12
21,199879,49
70,163828,36
24,109188,6
39,48212,36
61,141596,45
19,192492,57
79,109550,7
61,38132,15
73,170959,55
58,80731,23
90,123085,25
39,135748,95
35,71372,52
79,164259,96
57,105742,7
76,189412,87
40,64309,62
82,84966,66
84,35701,5
56,43376,52
21,118137,43
55,77165,86
24,119922,80
45,82425,39
28,149778,15
67,129484,80
69,73479,77
26,81259,29
45,147126,1
39,44774,12
27,198647,25
58,85181,16
46,87741,3
45,137494,68
63,56531,2
36,63564,23
25,198265,29
62,22655,39
36,125614,35
48,170509,54
50,101081,32
48,45667,95
49,189732,2
80,30718,49
33,134933,90
21,55978,34
38,36650,91
83,173558,53
54,29187,61
81,188612,45
44,101492,55
23,169008,31
39,145660,81
75,118063,35
19,95891,93
24,154402,79
44,112848,14
55,127451,31
60,98827,27
33,67969,27
52,60785,9
72,66416,53
72,152544,59
72,35507,72
68,167873,24
65,23002,32
81,111464,34
64,120469,20
76,85934,48
30,99419,4
68,194339,35
70,187033,14
57,164879,9
90,34276,98
65,97470,67
36,142836,40
72,62084,59
61,166752,93
46,43269,54
68,114111,42
31,75683,65
51,196283,31
37,132793,22
25,141598,63
30,195148,27
21,175112,33
65,81473,10
21,172147,80
22,106474,74
70,198254,13
71,148746,13
27,40263,77
21,115816,55
53,149880,32
51,88029,84
49,193839,43
56,54564,18
55,134714,96
84,187596,44
38,129717,71
46,48265,62
27,179234,97
53,156298,35
65,156022,49
22,158363,83
23,114512,25
18,96397,64
44,171517,76
38,181538,68
54,47403,42
88,167725,51
24,185297,95
70,160196,34
42,117940,82
74,190938,65
22,138220,20
78,94764,75
44,83991,1
70,82642,56
58,123333,91
38,70435,24
88,189093,50
33,177848,29
59,96744,97
72,83218,32
27,39027,29
35,139195,33
37,144020,45
44,186527,6
29,48177,53
58,139447,35
39,119071,3
33,181795,1
65,150797,44
52,76398,31
45,58209,64
82,122425,46
59,46020,78
34,61463,72
52,29917,3
59,194285,47
45,96402,43
29,146297,82
83,148435,71
26,111030,96
79,27136,48
49,197608,33
19,55184,32
48,92981,70
22,40540,40
54,88161,40
83,165910,52
60,167341,34
78,90847,77
33,35619,73
27,41176,50
33,120389,51
55,74456,13
46,181085,64
87,46613,76
79,83333,73
19,165788,44
22,99687,51
31,83755,8
84,155012,80
27,56250,100
20,111933,39
36,191350,99
77,94946,92
67,63064,26
26,82707,4
34,135368,27
40,44192,70
41,32923,95
57,100359,18
35,28555,18
85,142048,11
63,111526,91
35,33041,15
77,157332,57
25,71927,39
28,194371,19
31,85563,28
85,130091,37
90,42161,94
28,159617,71
70,46295,54
46,74147,48
71,190491,75
81,124912,24
35,84210,53
37,134784,6
71,185966,6
50,140875,83
65,177020,100
83,151188,88
39,33191,2
32,163264,64
26,40345,23
24,184070,21
65,44776,36
36,119502,52
41,113729,54
83,194008,55
61,60084,36
84,144269,1
33,109638,49
89,88161,50
35,182663,68
89,91139,59
40,180570,23
69,57994,35
88,172761,69
34,38774,84
88,80079,9
