Age,Gender,Annual Income,Spending Score
30,1,151479,89
58,0,185088,95
62,0,70912,76
23,1,55460,57
24,1,153752,76
42,1,158335,40
27,0,163501,37
24,1,70476,17
83,1,47743,34
62,0,63448,3
37,1,170566,75
63,0,89355,80
25,1,87576,17
32,0,159892,96
51,0,135079,87
64,0,32869,81
19,1,198682,82
89,1,38708,97
65,1,87270,3
26,1,45518,12
21,1,199879,49
70,1,163828,36
24,1,109188,6
39,0,48212,36
61,1,141596,45
19,0,192492,57
79,1,109550,7
61,0,38132,15
73,0,170959,55
58,1,80731,23
90,0,123085,25
39,0,135748,95
35,0,71372,52
79,1,164259,96
57,0,105742,7
76,1,189412,87
40,1,64309,62
82,0,84966,66
84,0,35701,5
56,0,43376,52
21,0,118137,43
55,1,77165,86
24,1,119922,80
45,1,82425,39
28,1,149778,15
67,0,129484,80
69,0,73479,77
26,0,81259,29
45,1,147126,1
39,0,44774,12
27,0,198647,25
58,0,85181,16
46,1,87741,3
45,0,137494,68
63,0,56531,2
36,1,63564,23
25,0,198265,29
62,1,22655,39
36,1,125614,35
48,0,170509,54
50,0,101081,32
48,0,45667,95
49,0,189732,2
80,0,30718,49
33,0,134933,90
21,1,55978,34
38,0,36650,91
83,0,173558,53
54,0,29187,61
81,0,188612,45
44,1,101492,55
23,1,169008,31
39,0,145660,81
75,0,118063,35
19,0,95891,93
24,1,154402,79
44,0,112848,14
55,0,127451,31
60,1,98827,27
33,1,67969,27
52,0,60785,9
72,0,66416,53
72,1,152544,59
72,0,35507,72
68,1,167873,24
65,1,23002,32
81,0,111464,34
64,0,120469,20
76,1,85934,48
30,0,99419,4
68,0,194339,35
70,1,187033,14
57,1,164879,9
90,0,34276,98
65,1,97470,67
36,0,142836,40
72,0,62084,59
61,1,166752,93
46,1,43269,54
68,1,114111,42
31,0,75683,65
51,1,196283,31
37,0,132793,22
25,1,141598,63
30,1,195148,27
21,0,175112,33
65,1,81473,10
21,1,172147,80
22,0,106474,74
70,0,198254,13
71,1,148746,13
27,0,40263,77
21,0,115816,55
53,1,149880,32
51,0,88029,84
49,0,193839,43
56,0,54564,18
55,1,134714,96
84,1,187596,44
38,1,129717,71
46,0,48265,62
27,1,179234,97
53,0,156298,35
65,1,156022,49
22,1,158363,83
23,0,114512,25
18,0,96397,64
44,0,171517,76
38,0,181538,68
54,1,47403,42
88,0,167725,51
24,0,185297,95
70,1,160196,34
42,0,117940,82
74,1,190938,65
22,0,138220,20
78,1,94764,75
44,0,83991,1
70,1,82642,56
58,0,123333,91
38,1,70435,24
88,1,189093,50
33,0,177848,29
59,0,96744,97
72,0,83218,32
27,1,39027,29
35,0,139195,33
37,0,144020,45
44,0,186527,6
29,1,48177,53
58,0,139447,35
39,0,119071,3
33,1,181795,1
65,0,150797,44
52,0,76398,31
45,0,58209,64
82,1,122425,46
59,0,46020,78
34,0,61463,72
52,1,29917,3
59,1,194285,47
45,0,96402,43
29,1,146297,82
83,1,148435,71
26,1,111030,96
79,1,27136,48
49,1,197608,33
19,0,55184,32
48,0,92981,70
22,1,40540,40
54,1,88161,40
83,1,165910,52
60,1,167341,34
78,0,90847,77
33,0,35619,73
27,0,41176,50
33,0,120389,51
55,1,74456,13
46,0,181085,64
87,0,46613,76
79,1,83333,73
19,0,165788,44
22,0,99687,51
31,1,83755,8
84,1,155012,80
27,1,56250,100
20,1,111933,39
36,1,191350,99
77,0,94946,92
67,0,63064,26
26,1,82707,4
34,0,135368,27
40,1,44192,70
41,1,32923,95
57,1,100359,18
35,0,28555,18
85,0,142048,11
63,0,111526,91
35,1,33041,15
77,1,157332,57
25,1,71927,39
28,1,194371,19
31,1,85563,28
85,0,130091,37
90,1,42161,94
28,1,159617,71
70,1,46295,54
46,1,74147,48
71,1,190491,75
81,0,124912,24
35,1,84210,53
37,1,134784,6
71,1,185966,6
50,1,140875,83
65,1,177020,100
83,1,151188,88
39,0,33191,2
32,0,163264,64
26,1,40345,23
24,1,184070,21
65,0,44776,36
36,0,119502,52
41,0,113729,54
83,0,194008,55
61,0,60084,36
84,0,144269,1
33,0,109638,49
89,0,88161,50
35,0,182663,68
89,0,91139,59
40,1,180570,23
69,0,57994,35
88,0,172761,69
34,0,38774,84
88,1,80079,9
61,0,23888,59
60,0,189867,98
78,0,23342,91
35,0,76836,29
53,1,170065,28
33,1,99420,64
86,1,174987,71
90,0,117976,85
84,1,74475,54
54,0,103099,49
20,1,188784,21
86,0,28187,37
73,0,145465,54
35,0,120472,94
88,0,37300,4
54,0,113062,65
19,1,150107,61
84,1,22452,48
60,0,42834,32
