Age,Gender,Annual Income,Spending Score,Cluster,PCA1,PCA2
30,1,151479,89,0,1.8424366844018294,0.9077558035076098
58,0,185088,95,3,0.3093447578997688,1.3624065500203704
62,0,70912,76,2,0.12368402777106345,-0.42193114615103255
23,1,55460,57,0,1.5830002742452718,-1.0094380474130624
24,1,153752,76,0,1.6854350524419082,0.6527648119268025
42,1,158335,40,0,0.31376372775062655,0.6485749441768718
27,0,163501,37,3,-0.17019550684052095,-0.3175773699082779
24,1,70476,17,0,0.543236652451762,-1.2709494154199859
83,1,47743,34,4,-0.5785626144203005,-0.14651135429898055
62,0,63448,3,1,-1.6080034781550776,-1.435923791063527
37,1,170566,75,0,1.2513474909174873,1.1534953487093718
63,0,89355,80,2,0.1312487921973335,-0.08759082316411795
25,1,87576,17,0,0.4590266784113091,-1.0055219475634412
32,0,159892,96,3,1.125360978354601,0.46905120217123686
51,0,135079,87,2,0.474096061406816,0.4012091389236641
64,0,32869,81,2,0.3162988370116049,-0.8616377325124582
19,1,198682,82,0,1.8162508398543742,1.2646809967564345
89,1,38708,97,4,0.8040930696798188,0.6332530354049527
65,1,87270,3,4,-0.9660550182390626,-0.3444977130035934
26,1,45518,12,0,0.45162618957901873,-1.6478945651206445
21,1,199879,49,0,0.9637402563414244,0.9136146362351011
70,1,163828,36,4,-0.5632483703074425,1.2649621551822907
24,1,109188,6,0,0.14955662953709775,-0.8542817808948996
39,0,48212,36,1,-0.1368689982853977,-1.7262284561711232
61,1,141596,45,4,-0.027530520174420425,0.8701516536350754
19,0,192492,57,3,0.4322972421705627,0.1775395913567729
79,1,109550,7,4,-1.325274415499674,0.317497188661744
61,0,38132,15,1,-1.20766744740598,-1.6696535066406868
73,0,170959,55,3,-1.0145336352755385,0.9780610176654899
58,1,80731,23,4,-0.27240263052322156,-0.3362928505679993
90,0,123085,25,1,-2.0398064582622397,0.27759183390893183
39,0,135748,95,2,0.9911345594038823,0.25838196258897256
35,0,71372,52,2,0.2798808685914113,-1.2802397367635843
79,1,164259,96,4,0.633986074419139,2.2057107900228115
57,0,105742,7,1,-1.5165291051168062,-0.8865463267642074
76,1,189412,87,4,0.4153032239221137,2.3904565254438235
40,1,64309,62,0,1.210905028043338,-0.4640539515508544
82,0,84966,66,2,-0.7083836207600227,0.07438221715433246
84,0,35701,5,1,-2.066497087221752,-1.3460362221485607
56,0,43376,52,2,-0.19867725402895386,-1.2397540177211275
21,0,118137,43,3,0.28872163662404293,-1.0173881445562276
55,1,77165,86,0,1.3371057723713096,0.332785156912332
24,1,119922,80,0,1.8944105393237416,0.2188838312402101
45,1,82425,39,0,0.4609506775362234,-0.3860231227074034
28,1,149778,15,0,0.12194506607793308,-0.07825417077920033
67,0,129484,80,2,-0.11138866577485508,0.5699884784391471
69,0,73479,77,2,-0.05142182854099073,-0.22591241443411753
26,0,81259,29,1,-0.06142396026334796,-1.6136316116193472
45,1,147126,1,0,-0.6690138888844878,0.0665790584318007
39,0,44774,12,1,-0.7029118355247026,-2.0736632385191927
27,0,198647,25,3,-0.5760556253243605,0.03568601273261132
58,0,85181,16,1,-1.2586860066645107,-1.047619989141262
46,1,87741,3,0,-0.4502415758543038,-0.7364800021983121
45,0,137494,68,3,0.17224659934732234,0.07367577469021205
63,0,56531,2,1,-1.6362483083527297,-1.5262451785168951
36,1,63564,23,0,0.38387482282520474,-1.0433632721223163
25,0,198265,29,3,-0.4240716204012939,0.03797018007175953
62,1,22655,39,4,0.19719012851627726,-0.883682977742817
36,1,125614,35,0,0.4658659525120951,-0.00722143865808313
48,0,170509,54,3,-0.3563296878685709,0.4345743796101068
50,0,101081,32,1,-0.7088222197467747,-0.7893521404534204
48,0,45667,95,2,1.0462193985345647,-0.8404500936528624
49,0,189732,2,3,-1.6988608868439243,0.08405708294446808
80,0,30718,49,1,-0.8822228399643328,-0.9543445145798904
33,0,134933,90,2,1.0369220803035104,0.058678040606830836
21,1,55978,34,0,1.08229935972014,-1.3298635931707044
38,0,36650,91,2,1.2523221437514087,-1.2289119562759478
83,0,173558,53,3,-1.343625486297663,1.2002060908116825
54,0,29187,61,2,0.1196255916208591,-1.3726957289287878
81,0,188612,45,3,-1.5318254632973856,1.2740015439005727
44,1,101492,55,0,0.8096468897968119,0.06441167844879908
23,1,169008,31,0,0.5790208522763192,0.29057065845096264
39,0,145660,81,3,0.6212323331925567,0.22607091259675138
75,0,118063,35,1,-1.3739879285102614,0.015314879136809827
19,0,95891,93,2,1.620431630154298,-0.7559266965848156
